"","dyad.merge","conttype"
"290","002070_1896",1
"291","002070_1897",1
"292","002070_1898",1
"293","002070_1899",1
"294","002070_1900",1
"295","002070_1901",1
"296","002070_1902",1
"297","002070_1903",1
"298","002070_1904",1
"299","002070_1905",1
"300","002070_1906",1
"301","002070_1907",1
"302","002070_1908",1
"303","002070_1909",1
"304","002070_1910",1
"305","002070_1911",1
"306","002070_1912",1
"307","002070_1913",1
"308","002070_1914",1
"309","002070_1915",1
"310","002070_1916",1
"311","002070_1917",1
"312","002070_1918",1
"313","002070_1919",1
"314","002070_1920",1
"315","002070_1921",1
"316","002070_1922",1
"317","002070_1923",1
"318","002070_1924",1
"319","002070_1925",1
"320","002070_1926",1
"321","002070_1927",1
"322","002070_1928",1
"323","002070_1929",1
"324","002070_1930",1
"325","002070_1931",1
"326","002070_1932",1
"327","002070_1933",1
"328","002070_1934",1
"329","002070_1935",1
"330","002070_1936",1
"331","002070_1937",1
"332","002070_1938",1
"333","002070_1939",1
"334","002070_1940",1
"335","002070_1941",1
"336","002070_1942",1
"337","002070_1943",1
"338","002070_1944",1
"339","002070_1945",1
"340","002070_1946",1
"341","002070_1947",1
"342","002070_1948",1
"343","002070_1949",1
"344","002070_1950",1
"345","002070_1951",1
"346","002070_1952",1
"347","002070_1953",1
"348","002070_1954",1
"349","002070_1955",1
"350","002070_1956",1
"351","002070_1957",1
"352","002070_1958",1
"353","002070_1959",1
"354","002070_1960",1
"355","002070_1961",1
"356","002070_1962",1
"357","002070_1963",1
"358","002070_1964",1
"359","002070_1965",1
"360","002070_1966",1
"361","002070_1967",1
"362","002070_1968",1
"363","002070_1969",1
"364","002070_1970",1
"365","002070_1971",1
"366","002070_1972",1
"367","002070_1973",1
"368","002070_1974",1
"369","002070_1975",1
"370","002070_1976",1
"371","002070_1977",1
"372","002070_1978",1
"373","002070_1979",1
"374","002070_1980",1
"375","002070_1981",1
"376","002070_1982",1
"377","002070_1983",1
"378","002070_1984",1
"379","002070_1985",1
"380","002070_1986",1
"381","002070_1987",1
"382","002070_1988",1
"383","002070_1989",1
"384","002070_1990",1
"385","002070_1991",1
"386","002070_1992",1
"387","002070_1993",1
"388","002070_1994",1
"389","002070_1995",1
"390","002070_1996",1
"391","002070_1997",1
"392","002070_1998",1
"393","002070_1999",1
"394","002070_2000",1
"395","002070_2001",1
"396","002070_2002",1
"397","002070_2003",1
"398","002070_2004",1
"399","002070_2005",1
"400","002070_2006",1
"401","002365_1959",2
"402","002365_1960",2
"403","002365_1961",2
"404","002365_1962",2
"405","002365_1963",2
"406","002365_1964",2
"407","002365_1965",2
"408","002365_1966",2
"409","002365_1967",2
"410","002365_1968",2
"411","002365_1969",2
"412","002365_1970",2
"413","002365_1971",2
"414","002365_1972",2
"415","002365_1973",2
"416","002365_1974",2
"417","002365_1975",2
"418","002365_1976",2
"419","002365_1977",2
"420","002365_1978",2
"421","002365_1979",2
"422","002365_1980",2
"423","002365_1981",2
"424","002365_1982",2
"425","002365_1983",2
"426","002365_1984",2
"427","002365_1985",2
"428","002365_1986",2
"429","002365_1987",2
"430","002365_1988",2
"431","002365_1989",2
"432","002365_1990",2
"433","002365_1991",2
"434","002365_1992",2
"435","002365_1993",2
"436","002365_1994",2
"437","002365_1995",2
"438","002365_1996",2
"439","002365_1997",2
"440","002365_1998",2
"441","002365_1999",2
"442","002365_2000",2
"443","002365_2001",2
"444","002365_2002",2
"445","002365_2003",2
"446","002365_2004",2
"447","002365_2005",2
"448","002365_2006",2
"449","020002_1920",1
"450","020002_1921",1
"451","020002_1922",1
"452","020002_1923",1
"453","020002_1924",1
"454","020002_1925",1
"455","020002_1926",1
"456","020002_1927",1
"457","020002_1928",1
"458","020002_1929",1
"459","020002_1930",1
"460","020002_1931",1
"461","020002_1932",1
"462","020002_1933",1
"463","020002_1934",1
"464","020002_1935",1
"465","020002_1936",1
"466","020002_1937",1
"467","020002_1938",1
"468","020002_1939",1
"469","020002_1940",1
"470","020002_1941",1
"471","020002_1942",1
"472","020002_1943",1
"473","020002_1944",1
"474","020002_1945",1
"475","020002_1946",1
"476","020002_1947",1
"477","020002_1948",1
"478","020002_1949",1
"479","020002_1950",1
"480","020002_1951",1
"481","020002_1952",1
"482","020002_1953",1
"483","020002_1954",1
"484","020002_1955",1
"485","020002_1956",1
"486","020002_1957",1
"487","020002_1958",1
"488","020002_1959",1
"489","020002_1960",1
"490","020002_1961",1
"491","020002_1962",1
"492","020002_1963",1
"493","020002_1964",1
"494","020002_1965",1
"495","020002_1966",1
"496","020002_1967",1
"497","020002_1968",1
"498","020002_1969",1
"499","020002_1970",1
"500","020002_1971",1
"501","020002_1972",1
"502","020002_1973",1
"503","020002_1974",1
"504","020002_1975",1
"505","020002_1976",1
"506","020002_1977",1
"507","020002_1978",1
"508","020002_1979",1
"509","020002_1980",1
"510","020002_1981",1
"511","020002_1982",1
"512","020002_1983",1
"513","020002_1984",1
"514","020002_1985",1
"515","020002_1986",1
"516","020002_1987",1
"517","020002_1988",1
"518","020002_1989",1
"519","020002_1990",1
"520","020002_1991",1
"521","020002_1992",1
"522","020002_1993",1
"523","020002_1994",1
"524","020002_1995",1
"525","020002_1996",1
"526","020002_1997",1
"527","020002_1998",1
"528","020002_1999",1
"529","020002_2000",1
"530","020002_2001",1
"531","020002_2002",1
"532","020002_2003",1
"533","020002_2004",1
"534","020002_2005",1
"535","020002_2006",1
"536","031002_1973",4
"537","031002_1974",4
"538","031002_1975",4
"539","031002_1976",4
"540","031002_1977",4
"541","031002_1978",4
"542","031002_1979",4
"543","031002_1980",4
"544","031002_1981",4
"545","031002_1982",4
"546","031002_1983",4
"547","031002_1984",4
"548","031002_1985",4
"549","031002_1986",4
"550","031002_1987",4
"551","031002_1988",4
"552","031002_1989",4
"553","031002_1990",4
"554","031002_1991",4
"555","031002_1992",4
"556","031002_1993",4
"557","031002_1994",4
"558","031002_1995",4
"559","031002_1996",4
"560","031002_1997",4
"561","031002_1998",4
"562","031002_1999",4
"563","031002_2000",4
"564","031002_2001",4
"565","031002_2002",4
"566","031002_2003",4
"567","031002_2004",4
"568","031002_2005",4
"569","031002_2006",4
"570","031040_1973",4
"571","031040_1974",4
"572","031040_1975",4
"573","031040_1976",4
"574","031040_1977",4
"575","031040_1978",4
"576","031040_1979",4
"577","031040_1980",4
"578","031040_1981",4
"579","031040_1982",4
"580","031040_1983",4
"581","031040_1984",4
"582","031040_1985",4
"583","031040_1986",4
"584","031040_1987",4
"585","031040_1988",4
"586","031040_1989",4
"587","031040_1990",4
"588","031040_1991",4
"589","031040_1992",4
"590","031040_1993",4
"591","031040_1994",4
"592","031040_1995",4
"593","031040_1996",4
"594","031040_1997",4
"595","031040_1998",4
"596","031040_1999",4
"597","031040_2000",4
"598","031040_2001",4
"599","031040_2002",4
"600","031040_2003",4
"601","031040_2004",4
"602","031040_2005",4
"603","031040_2006",4
"604","031041_1973",4
"605","031041_1974",4
"606","031041_1975",4
"607","031041_1976",4
"608","031041_1977",4
"609","031041_1978",4
"610","031041_1979",4
"611","031041_1980",4
"612","031041_1981",4
"613","031041_1982",4
"614","031041_1983",4
"615","031041_1984",4
"616","031041_1985",4
"617","031041_1986",4
"618","031041_1987",4
"619","031041_1988",4
"620","031041_1989",4
"621","031041_1990",4
"622","031041_1991",4
"623","031041_1992",4
"624","031041_1993",4
"625","031041_1994",4
"626","031041_1995",4
"627","031041_1996",4
"628","031041_1997",4
"629","031041_1998",4
"630","031041_1999",4
"631","031041_2000",4
"632","031041_2001",4
"633","031041_2002",4
"634","031041_2003",4
"635","031041_2004",4
"636","031041_2005",4
"637","031041_2006",4
"638","031042_1973",4
