region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version
5,85001,850,"Karki",1,371,373,371373,199205,200199,-9,-9,7,2,3,4,2,5,2,3,0,0,0,1.01
5,85801,858,"Western Georgia",1,365,640,365640,182804,182909,4,1,9,3,4,5,4,5,2,3,1,1,1,1.01
5,85802,858,"Kars",2,365,640,365640,185511,185603,13,1,9,3,4,5,4,5,2,3,1,1,1,1.01
5,85803,858,"Eastern Anatolia",3,365,640,365640,187704,187803,4,1,9,3,4,5,4,5,2,3,1,1,1,1.01
5,85804,858,"Alashkert & Bayazit",4,640,365,365640,187803,187807,13,0,10,3,5,5,4,6,3,3,0,0,0,1.01
5,85805,858,"Eastern Anatolia",5,365,640,365640,191605,191712,2,0,10,3,5,5,4,6,3,3,1,1,1,1.01
5,85806,858,"Kars-Ardahan-Batum",6,640,365,365640,191602,191803,13,1,10,3,5,5,4,6,3,3,1,1,1,1.01
5,85807,858,"Batum",7,365,640,365640,192012,192103,4,0,10,3,5,5,4,6,3,3,1,0,0,1.01
5,85808,858,"Kars & Ardahan",8,365,640,365640,194506,195307,2,0,10,3,5,5,4,6,3,3,1,0,0,1.01
5,86201,862,"Krasnovodsk",1,365,630,365630,186911,186912,7,1,9,3,4,5,4,5,2,3,0,0,0,1.01
5,86202,862,"Turkomen Tribal Areas",2,630,365,365630,187609,187705,1,0,8,3,4,4,2,6,3,3,0,0,0,1.01
5,86203,862,"Firuze",3,365,630,365630,189202,189306,4,0,8,3,4,4,2,6,3,3,0,0,0,1.01
5,86204,862,"Sarakhs",4,365,630,365630,190201,192102,4,0,10,3,5,5,4,6,3,3,0,0,0,1.01
5,86205,862,"Firuze-Achuradeh-Astrabad",5,630,365,365630,191901,192102,4,0,10,3,5,5,4,6,3,3,0,0,0,1.01
5,86206,862,"Firuze",6,365,630,365630,193901,195412,4,0,8,3,4,4,2,6,3,3,0,0,0,1.01
5,86601,866,"Badakshan",1,365,200,200365,187301,189503,4,0,6,2,3,3,4,2,1,1,1,0,0,1.01
5,86602,866,"Urta-Turgai",2,365,700,365700,192501,192608,4,0,5,2,2,3,2,3,1,2,1,1,0,1.01
5,87401,874,"Batken-Isfara",1,702,703,702703,200001,200199,-9,-9,7,2,3,4,2,5,2,3,0,0,0,1.01
5,87701,877,"Western Xinjiang",1,365,710,365710,186101,186409,4,0,11,3,5,6,6,5,2,3,1,1,0,1.01
5,87702,877,"Ili Valley & Lake Zaysan",2,365,710,365710,187008,188102,4,0,9,3,4,5,4,5,2,3,3,0,0,1.01
5,87703,877,"Sarykol Range",3,365,710,365710,189107,189401,4,0,9,3,4,5,4,5,2,3,1,0,0,1.01
