dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version
4290,-9,24,8,2001,25,8,2001,5,3,0,0,1,1,7,3,0,1,1,4289,4337,0,0,gml-2.0
4291,-9,1,10,1998,20,10,1998,1,1,0,0,19,19,7,3,0,1,1,4190,4315,0,0,gml-2.0
4292,-9,9,6,1999,10,6,1999,5,3,0,0,1,1,16,4,0,1,1,4205,4113,4192,0,gml-2.0
4293,-9,27,6,1995,28,6,1995,5,3,0,0,1,1,8,3,0,1,1,0,0,0,0,gml-2.0
4295,-9,1,8,2e3,6,10,2e3,7,1,0,0,66,66,15,4,0,1,8,4137,4186,0,0,gml-2.0
4296,-9,30,8,2001,30,8,2001,5,3,0,0,0,0,15,4,0,1,1,0,0,0,0,gml-2.0
4297,-9,12,10,1996,NA,10,1996,4,1,0,0,19,-11,15,4,0,1,1,4042,4222,0,0,gml-2.0
4298,-9,5,8,2e3,29,9,2e3,5,3,0,0,55,55,15,4,1,1,2,4100,4137,4230,0,gml-2.0
4299,-9,26,6,1993,28,6,1993,5,3,1,-9,2,2,16,4,0,1,1,4272,4274,4275,0,gml-2.0
4300,-9,26,1,2001,4,6,2001,5,3,0,0,129,129,16,4,1,1,1,4251,0,NA,0,gml-2.0
4301,-9,NA,5,2001,NA,5,2001,7,4,0,0,30,-30,15,4,0,1,1,4256,4255,0,0,gml-2.0
4302,-9,13,8,1999,17,9,1999,6,1,0,0,35,35,8,3,0,1,1,4257,0,0,0,gml-2.0
4303,-9,7,1,2001,21,11,2001,8,4,1,10,318,318,16,4,1,1,1,0,0,0,0,gml-2.0
4304,-9,7,12,1997,7,12,1997,5,3,0,0,0,0,12,3,0,1,1,4248,4305,4078,0,gml-2.0
4305,-9,30,10,2001,30,10,2001,5,3,0,0,0,0,8,3,0,1,1,4248,4304,4078,0,gml-2.0
4306,-9,1,3,2001,6,3,2001,5,3,0,0,5,5,14,4,0,1,1,0,0,0,0,gml-2.0
4307,-9,14,4,1994,NA,9,1994,3,4,0,0,169,140,14,4,0,1,1,0,0,0,0,gml-2.0
4308,-9,8,2,1993,8,2,1993,5,3,1,6,0,0,17,4,1,1,1,0,0,0,0,gml-2.0
4309,-9,4,3,1996,4,9,1996,5,3,0,0,184,184,14,4,0,1,1,0,0,0,0,gml-2.0
4310,-9,26,3,2001,30,10,2001,5,3,0,0,218,218,17,4,1,1,1,4122,0,0,0,gml-2.0
4312,-9,29,4,2e3,1,5,2e3,5,3,0,0,2,2,14,4,0,1,1,0,0,0,0,gml-2.0
4313,-9,16,4,2001,30,4,2001,5,1,1,19,14,14,17,4,0,1,1,4005,4006,0,0,gml-2.0
4314,-9,10,2,2001,29,4,2001,5,1,2,-9,78,78,17,4,1,1,1,4002,4003,4138,0,gml-2.0
4315,-9,20,5,1997,NA,5,1997,5,3,0,0,11,-19,11,3,0,1,1,4190,4291,0,0,gml-2.0
